,dc_p,s_ir,h_ir,m_t
410,0.0,0.0,-1.0,8.0
411,0.0,0.0,-1.0,8.0
412,0.0,0.0,-1.0,8.0
413,0.0,0.0,-1.0,8.0
414,0.0,0.0,-1.0,8.0
415,0.0,0.0,-1.0,8.0
416,0.0,0.0,-1.0,8.0
417,0.0,0.0,-1.0,8.0
418,0.0,0.0,-1.0,8.0
419,0.0,0.0,-1.0,8.0
420,0.0,0.0,-1.0,7.9
421,0.0,0.0,-1.0,7.9
422,0.0,0.0,-1.0,7.9
423,0.0,0.0,-1.0,7.9
424,0.0,0.0,-1.0,7.9
425,0.0,0.0,-1.0,7.9
426,0.0,0.0,-1.0,7.8
427,0.0,0.0,-1.0,7.8
428,0.0,0.0,-1.0,8.4
429,0.0,0.0,-1.0,8.3
430,0.0,0.0,-1.0,8.3
431,0.0,0.0,-1.0,8.2
432,0.0,0.0,-1.0,8.2
433,0.0,0.0,-1.0,8.2
434,0.0,0.0,-1.0,8.2
435,0.0,0.0,-1.0,8.1
436,0.0,0.0,-1.0,8.1
437,0.0,0.0,-1.0,8.1
438,0.0,0.0,-1.0,8.1
439,0.0,0.0,-1.0,8.1
440,0.0,1.0,-1.0,8.1
441,0.0,1.0,-1.0,8.0
442,0.0,1.0,-1.0,8.0
443,0.0,1.0,-1.0,8.0
444,0.0,1.0,-1.0,8.0
445,0.0,2.0,-1.0,8.0
446,0.0,2.0,-1.0,8.0
447,0.0,2.0,-1.0,8.0
448,0.0,2.0,-1.0,8.0
449,0.0,2.0,-1.0,8.0
450,0.0,2.0,-1.0,8.0
451,0.0,3.0,-1.0,8.0
452,0.0,3.0,-1.0,8.0
453,0.0,4.0,-1.0,8.0
454,0.0,5.0,-1.0,8.1
455,0.4,6.0,-1.0,8.1
456,0.4,7.0,-1.0,8.1
457,0.5,8.0,-1.0,8.1
458,0.5,9.0,-1.0,8.1
459,0.5,10.0,-1.0,8.1
460,0.5,11.0,-1.0,8.1
461,0.5,11.0,-1.0,8.2
462,0.5,11.0,-1.0,8.2
463,0.5,10.0,-1.0,8.2
464,0.5,10.0,-1.0,8.2
465,0.5,10.0,-1.0,8.2
466,0.5,9.0,-1.0,8.2
467,0.5,9.0,-1.0,8.2
468,0.5,9.0,-1.0,8.2
469,0.7,11.0,-1.0,8.2
470,0.7,12.0,-1.0,8.2
471,0.9,16.0,-1.0,8.3
472,0.9,17.0,-1.0,8.3
473,0.9,17.0,-1.0,8.3
474,1.0,18.0,-1.0,8.3
475,0.9,18.0,-1.0,8.3
476,1.1,18.0,-1.0,8.3
477,0.9,18.0,-1.0,8.3
478,0.9,17.0,-1.0,8.4
479,0.9,16.0,-1.0,8.4
480,0.8,16.0,-1.0,8.4
481,1.0,15.0,-1.0,8.4
482,0.7,13.0,-1.0,8.4
483,0.7,13.0,-1.0,8.4
484,0.8,14.0,-1.0,8.4
485,0.8,14.0,-1.0,8.4
486,0.8,15.0,-1.0,8.4
487,0.9,16.0,-1.0,8.4
488,0.9,17.0,-1.0,8.4
489,5.8,111.0,-1.0,10.8
490,6.1,114.0,-1.0,10.8
491,6.3,118.0,-1.0,10.9
492,6.5,122.0,-1.0,10.9
493,6.7,127.0,-1.0,11.0
494,6.7,128.0,-1.0,11.0
495,6.7,127.0,-1.0,11.1
496,6.4,124.0,-1.0,11.1
497,6.1,117.0,-1.0,11.1
498,5.1,101.0,-1.0,11.2
499,4.6,89.0,-1.0,11.1
500,4.0,79.0,-1.0,11.1
501,3.5,70.0,-1.0,11.0
502,3.3,65.0,-1.0,10.9
503,3.2,61.0,-1.0,10.8
504,3.3,61.0,-1.0,10.7
505,3.5,65.0,-1.0,10.6
506,3.6,67.0,-1.0,10.5
507,3.6,69.0,-1.0,10.4
508,3.5,69.0,-1.0,10.4
509,3.4,67.0,-1.0,10.4
510,3.2,64.0,-1.0,10.3
511,3.0,59.0,-1.0,10.2
512,3.6,70.0,-1.0,14.7
513,3.4,69.0,-1.0,14.7
514,3.2,65.0,-1.0,14.7
515,3.1,62.0,-1.0,14.7
516,3.2,62.0,-1.0,14.6
517,3.6,66.0,-1.0,14.6
518,4.0,75.0,-1.0,14.5
519,2.7,55.0,-1.0,14.6
520,2.5,50.0,-1.0,14.5
521,2.6,50.0,-1.0,14.4
522,2.7,53.0,-1.0,14.3
523,2.6,52.0,-1.0,14.2
524,2.6,51.0,-1.0,14.1
525,2.5,50.0,-1.0,14.1
526,2.4,51.0,-1.0,14.0
527,2.8,53.0,-1.0,14.0
528,3.6,65.0,-1.0,13.9
529,4.1,76.0,-1.0,13.9
530,4.0,83.0,-1.0,14.0
